respondent_id,survey_year,technology,technology_family,selected
year_1_000589,year_1,MySQL,DATABASE,False
year_1_000590,year_1,MySQL,DATABASE,False
year_1_000591,year_1,MySQL,DATABASE,False
year_1_000592,year_1,MySQL,DATABASE,False
year_1_000593,year_1,MySQL,DATABASE,False
year_1_000594,year_1,MySQL,DATABASE,False
year_1_000595,year_1,MySQL,DATABASE,False
year_1_000596,year_1,MySQL,DATABASE,False
year_1_000597,year_1,MySQL,DATABASE,False
year_1_000598,year_1,MySQL,DATABASE,False
year_1_000599,year_1,MySQL,DATABASE,False
year_1_000600,year_1,MySQL,DATABASE,False
year_1_000601,year_1,MySQL,DATABASE,False
year_1_000602,year_1,MySQL,DATABASE,False
year_1_000603,year_1,MySQL,DATABASE,True
year_1_000604,year_1,MySQL,DATABASE,False
year_1_000605,year_1,MySQL,DATABASE,True
year_1_000606,year_1,MySQL,DATABASE,False
year_1_000607,year_1,MySQL,DATABASE,False
year_1_000608,year_1,MySQL,DATABASE,False
year_1_000609,year_1,MySQL,DATABASE,False
year_1_000610,year_1,MySQL,DATABASE,False
year_1_000611,year_1,MySQL,DATABASE,False
year_1_000612,year_1,MySQL,DATABASE,False
year_1_000613,year_1,MySQL,DATABASE,True
year_1_000614,year_1,MySQL,DATABASE,False
year_1_000615,year_1,MySQL,DATABASE,False
year_1_000616,year_1,MySQL,DATABASE,False
year_1_000617,year_1,MySQL,DATABASE,False
year_1_000618,year_1,MySQL,DATABASE,True
year_1_000619,year_1,MySQL,DATABASE,True
year_1_000620,year_1,MySQL,DATABASE,False
year_1_000621,year_1,MySQL,DATABASE,False
year_1_000622,year_1,MySQL,DATABASE,False
year_1_000623,year_1,MySQL,DATABASE,True
year_1_000624,year_1,MySQL,DATABASE,False
year_1_000625,year_1,MySQL,DATABASE,False
year_1_000626,year_1,MySQL,DATABASE,False
year_1_000627,year_1,MySQL,DATABASE,False
year_1_000628,year_1,MySQL,DATABASE,False
year_1_000629,year_1,MySQL,DATABASE,False
year_1_000630,year_1,MySQL,DATABASE,False
year_1_000631,year_1,MySQL,DATABASE,True
year_1_000632,year_1,MySQL,DATABASE,False
year_1_000633,year_1,MySQL,DATABASE,False
year_1_000634,year_1,MySQL,DATABASE,True
year_1_000635,year_1,MySQL,DATABASE,False
year_1_000636,year_1,MySQL,DATABASE,True
year_1_000637,year_1,MySQL,DATABASE,True
year_1_000638,year_1,MySQL,DATABASE,False
year_1_000639,year_1,MySQL,DATABASE,False
year_1_000640,year_1,MySQL,DATABASE,False
year_1_000641,year_1,MySQL,DATABASE,False
year_1_000642,year_1,MySQL,DATABASE,False
year_1_000643,year_1,MySQL,DATABASE,False
year_1_000644,year_1,MySQL,DATABASE,True
year_1_000645,year_1,MySQL,DATABASE,False
year_1_000646,year_1,MySQL,DATABASE,False
year_1_000647,year_1,MySQL,DATABASE,True
year_1_000648,year_1,MySQL,DATABASE,False
year_1_000649,year_1,MySQL,DATABASE,False
year_1_000650,year_1,MySQL,DATABASE,False
year_1_000651,year_1,MySQL,DATABASE,True
year_1_000652,year_1,MySQL,DATABASE,False
year_1_000653,year_1,MySQL,DATABASE,True
year_1_000654,year_1,MySQL,DATABASE,False
year_1_000655,year_1,MySQL,DATABASE,False
year_1_000656,year_1,MySQL,DATABASE,True
year_1_000657,year_1,MySQL,DATABASE,False
year_1_000658,year_1,MySQL,DATABASE,True
year_1_000659,year_1,MySQL,DATABASE,True
year_1_000660,year_1,MySQL,DATABASE,False
year_1_000661,year_1,MySQL,DATABASE,True
year_1_000662,year_1,MySQL,DATABASE,False
year_1_000663,year_1,MySQL,DATABASE,False
year_1_000664,year_1,MySQL,DATABASE,False
year_1_000665,year_1,MySQL,DATABASE,True
year_1_000666,year_1,MySQL,DATABASE,True
year_1_000667,year_1,MySQL,DATABASE,False
year_1_000668,year_1,MySQL,DATABASE,False
year_1_000669,year_1,MySQL,DATABASE,True
year_1_000670,year_1,MySQL,DATABASE,False
year_1_000671,year_1,MySQL,DATABASE,False
year_1_000672,year_1,MySQL,DATABASE,True
year_1_000673,year_1,MySQL,DATABASE,False
year_1_000674,year_1,MySQL,DATABASE,True
year_1_000675,year_1,MySQL,DATABASE,True
year_1_000676,year_1,MySQL,DATABASE,False
year_1_000677,year_1,MySQL,DATABASE,False
year_1_000678,year_1,MySQL,DATABASE,True
year_1_000679,year_1,MySQL,DATABASE,True
year_1_000680,year_1,MySQL,DATABASE,False
year_1_000681,year_1,MySQL,DATABASE,False
year_1_000682,year_1,MySQL,DATABASE,False
year_1_000683,year_1,MySQL,DATABASE,False
year_1_000684,year_1,MySQL,DATABASE,False
year_1_000685,year_1,MySQL,DATABASE,False
year_1_000686,year_1,MySQL,DATABASE,False
year_1_000687,year_1,MySQL,DATABASE,True
year_1_000688,year_1,MySQL,DATABASE,False
year_1_000689,year_1,MySQL,DATABASE,True
year_1_000690,year_1,MySQL,DATABASE,False
year_1_000691,year_1,MySQL,DATABASE,True
year_1_000692,year_1,MySQL,DATABASE,False
year_1_000693,year_1,MySQL,DATABASE,True
year_1_000694,year_1,MySQL,DATABASE,False
year_1_000695,year_1,MySQL,DATABASE,False
year_1_000696,year_1,MySQL,DATABASE,False
year_1_000697,year_1,MySQL,DATABASE,False
year_1_000698,year_1,MySQL,DATABASE,True
year_1_000699,year_1,MySQL,DATABASE,False
year_1_000700,year_1,MySQL,DATABASE,False
year_1_000701,year_1,MySQL,DATABASE,False
year_1_000702,year_1,MySQL,DATABASE,True
year_1_000703,year_1,MySQL,DATABASE,False
year_1_000704,year_1,MySQL,DATABASE,False
year_1_000705,year_1,MySQL,DATABASE,True
year_1_000706,year_1,MySQL,DATABASE,True
year_1_000707,year_1,MySQL,DATABASE,False
year_1_000708,year_1,MySQL,DATABASE,True
year_1_000709,year_1,MySQL,DATABASE,False
year_1_000710,year_1,MySQL,DATABASE,False
year_1_000711,year_1,MySQL,DATABASE,True
year_1_000712,year_1,MySQL,DATABASE,True
year_1_000713,year_1,MySQL,DATABASE,False
year_1_000714,year_1,MySQL,DATABASE,True
year_1_000715,year_1,MySQL,DATABASE,True
year_1_000716,year_1,MySQL,DATABASE,False
year_1_000717,year_1,MySQL,DATABASE,True
year_1_000718,year_1,MySQL,DATABASE,False
year_1_000719,year_1,MySQL,DATABASE,False
year_1_000720,year_1,MySQL,DATABASE,False
year_1_000721,year_1,MySQL,DATABASE,False
year_1_000722,year_1,MySQL,DATABASE,False
year_1_000723,year_1,MySQL,DATABASE,False
year_1_000724,year_1,MySQL,DATABASE,False
year_1_000725,year_1,MySQL,DATABASE,False
year_1_000726,year_1,MySQL,DATABASE,True
year_1_000727,year_1,MySQL,DATABASE,False
year_1_000728,year_1,MySQL,DATABASE,False
year_1_000729,year_1,MySQL,DATABASE,False
year_1_000730,year_1,MySQL,DATABASE,False
year_1_000731,year_1,MySQL,DATABASE,True
year_1_000733,year_1,MySQL,DATABASE,False
year_1_000734,year_1,MySQL,DATABASE,False
year_1_000735,year_1,MySQL,DATABASE,False
year_1_000736,year_1,MySQL,DATABASE,False
year_1_000737,year_1,MySQL,DATABASE,False
year_1_000738,year_1,MySQL,DATABASE,False
year_1_000739,year_1,MySQL,DATABASE,False
year_1_000740,year_1,MySQL,DATABASE,False
year_1_000741,year_1,MySQL,DATABASE,False
year_1_000742,year_1,MySQL,DATABASE,False
year_1_000743,year_1,MySQL,DATABASE,False
year_1_000744,year_1,MySQL,DATABASE,True
year_1_000745,year_1,MySQL,DATABASE,False
year_1_000746,year_1,MySQL,DATABASE,True
year_1_000747,year_1,MySQL,DATABASE,False
year_1_000749,year_1,MySQL,DATABASE,False
year_1_000750,year_1,MySQL,DATABASE,False
year_1_000751,year_1,MySQL,DATABASE,False
year_1_000752,year_1,MySQL,DATABASE,True
year_1_000753,year_1,MySQL,DATABASE,False
year_1_000754,year_1,MySQL,DATABASE,False
year_1_000755,year_1,MySQL,DATABASE,False
year_1_000756,year_1,MySQL,DATABASE,False
year_1_000757,year_1,MySQL,DATABASE,False
year_1_000758,year_1,MySQL,DATABASE,True
year_1_000759,year_1,MySQL,DATABASE,False
year_1_000760,year_1,MySQL,DATABASE,True
year_1_000761,year_1,MySQL,DATABASE,False
year_1_000762,year_1,MySQL,DATABASE,True
year_1_000763,year_1,MySQL,DATABASE,False
year_1_000764,year_1,MySQL,DATABASE,False
year_1_000765,year_1,MySQL,DATABASE,True
year_1_000766,year_1,MySQL,DATABASE,False
year_1_000767,year_1,MySQL,DATABASE,True
year_1_000768,year_1,MySQL,DATABASE,False
year_1_000769,year_1,MySQL,DATABASE,False
year_1_000770,year_1,MySQL,DATABASE,False
year_1_000771,year_1,MySQL,DATABASE,False
year_1_000772,year_1,MySQL,DATABASE,False
year_1_000773,year_1,MySQL,DATABASE,False
year_1_000774,year_1,MySQL,DATABASE,False
year_1_000776,year_1,MySQL,DATABASE,False
year_1_000777,year_1,MySQL,DATABASE,False
year_1_000778,year_1,MySQL,DATABASE,True
year_1_000779,year_1,MySQL,DATABASE,False
year_1_000780,year_1,MySQL,DATABASE,False
year_1_000781,year_1,MySQL,DATABASE,True
year_1_000782,year_1,MySQL,DATABASE,False
year_1_000783,year_1,MySQL,DATABASE,False
year_1_000784,year_1,MySQL,DATABASE,False
year_1_000785,year_1,MySQL,DATABASE,True
year_1_000786,year_1,MySQL,DATABASE,True
year_1_000787,year_1,MySQL,DATABASE,True
year_1_000788,year_1,MySQL,DATABASE,True
year_1_000789,year_1,MySQL,DATABASE,False
year_1_000790,year_1,MySQL,DATABASE,False
year_1_000791,year_1,MySQL,DATABASE,False
year_1_000792,year_1,MySQL,DATABASE,True
year_1_000793,year_1,MySQL,DATABASE,True
year_1_000794,year_1,MySQL,DATABASE,False
year_1_000795,year_1,MySQL,DATABASE,False
year_1_000796,year_1,MySQL,DATABASE,True
year_1_000797,year_1,MySQL,DATABASE,False
year_1_000798,year_1,MySQL,DATABASE,True
year_1_000799,year_1,MySQL,DATABASE,False
year_1_000800,year_1,MySQL,DATABASE,False
year_1_000801,year_1,MySQL,DATABASE,False
year_1_000802,year_1,MySQL,DATABASE,False
year_1_000803,year_1,MySQL,DATABASE,False
year_1_000804,year_1,MySQL,DATABASE,False
year_1_000805,year_1,MySQL,DATABASE,False
year_1_000806,year_1,MySQL,DATABASE,True
year_1_000807,year_1,MySQL,DATABASE,True
year_1_000808,year_1,MySQL,DATABASE,False
year_1_000809,year_1,MySQL,DATABASE,False
year_1_000810,year_1,MySQL,DATABASE,True
year_1_000811,year_1,MySQL,DATABASE,False
year_1_000812,year_1,MySQL,DATABASE,False
year_1_000813,year_1,MySQL,DATABASE,True
year_1_000814,year_1,MySQL,DATABASE,False
year_1_000816,year_1,MySQL,DATABASE,False
year_1_000817,year_1,MySQL,DATABASE,False
year_1_000818,year_1,MySQL,DATABASE,False
year_1_000819,year_1,MySQL,DATABASE,False
year_1_000820,year_1,MySQL,DATABASE,True
year_1_000821,year_1,MySQL,DATABASE,False
year_1_000822,year_1,MySQL,DATABASE,True
year_1_000823,year_1,MySQL,DATABASE,False
year_1_000824,year_1,MySQL,DATABASE,False
year_1_000825,year_1,MySQL,DATABASE,False
year_1_000826,year_1,MySQL,DATABASE,False
year_1_000827,year_1,MySQL,DATABASE,False
year_1_000828,year_1,MySQL,DATABASE,False
year_1_000829,year_1,MySQL,DATABASE,False
year_1_000831,year_1,MySQL,DATABASE,True
year_1_000832,year_1,MySQL,DATABASE,False
year_1_000833,year_1,MySQL,DATABASE,False
year_1_000834,year_1,MySQL,DATABASE,False
year_1_000835,year_1,MySQL,DATABASE,False
year_1_000836,year_1,MySQL,DATABASE,False
year_1_000837,year_1,MySQL,DATABASE,False
year_1_000838,year_1,MySQL,DATABASE,False
year_1_000839,year_1,MySQL,DATABASE,False
year_1_000840,year_1,MySQL,DATABASE,False
year_1_000841,year_1,MySQL,DATABASE,False
year_1_000842,year_1,MySQL,DATABASE,True
year_1_000843,year_1,MySQL,DATABASE,False
year_1_000844,year_1,MySQL,DATABASE,False
year_1_000845,year_1,MySQL,DATABASE,False
year_1_000846,year_1,MySQL,DATABASE,False
year_1_000847,year_1,MySQL,DATABASE,True
year_1_000848,year_1,MySQL,DATABASE,False
year_1_000849,year_1,MySQL,DATABASE,False
year_1_000850,year_1,MySQL,DATABASE,False
year_1_000851,year_1,MySQL,DATABASE,True
year_1_000852,year_1,MySQL,DATABASE,False
year_1_000853,year_1,MySQL,DATABASE,True
year_1_000854,year_1,MySQL,DATABASE,False
year_1_000855,year_1,MySQL,DATABASE,False
year_1_000856,year_1,MySQL,DATABASE,False
year_1_000857,year_1,MySQL,DATABASE,False
year_1_000858,year_1,MySQL,DATABASE,True
year_1_000859,year_1,MySQL,DATABASE,False
year_1_000860,year_1,MySQL,DATABASE,False
year_1_000861,year_1,MySQL,DATABASE,False
year_1_000862,year_1,MySQL,DATABASE,True
year_1_000863,year_1,MySQL,DATABASE,False
year_1_000864,year_1,MySQL,DATABASE,True
year_1_000865,year_1,MySQL,DATABASE,False
year_1_000866,year_1,MySQL,DATABASE,True
year_1_000867,year_1,MySQL,DATABASE,True
year_1_000868,year_1,MySQL,DATABASE,False
year_1_000869,year_1,MySQL,DATABASE,False
year_1_000870,year_1,MySQL,DATABASE,False
year_1_000871,year_1,MySQL,DATABASE,False
year_1_000872,year_1,MySQL,DATABASE,False
year_1_000873,year_1,MySQL,DATABASE,False
year_1_000874,year_1,MySQL,DATABASE,False
year_1_000875,year_1,MySQL,DATABASE,False
year_1_000876,year_1,MySQL,DATABASE,True
year_1_000877,year_1,MySQL,DATABASE,False
year_1_000878,year_1,MySQL,DATABASE,False
year_1_000879,year_1,MySQL,DATABASE,True
year_1_000880,year_1,MySQL,DATABASE,True
year_1_000881,year_1,MySQL,DATABASE,False
year_1_000882,year_1,MySQL,DATABASE,False
year_1_000883,year_1,MySQL,DATABASE,True
year_1_000884,year_1,MySQL,DATABASE,False
year_1_000885,year_1,MySQL,DATABASE,True
year_1_000886,year_1,MySQL,DATABASE,True
year_1_000887,year_1,MySQL,DATABASE,False
year_1_000888,year_1,MySQL,DATABASE,True
year_1_000889,year_1,MySQL,DATABASE,False
year_1_000890,year_1,MySQL,DATABASE,False
year_1_000891,year_1,MySQL,DATABASE,False
year_1_000892,year_1,MySQL,DATABASE,True
year_1_000893,year_1,MySQL,DATABASE,True
year_1_000894,year_1,MySQL,DATABASE,True
year_1_000895,year_1,MySQL,DATABASE,True
year_1_000896,year_1,MySQL,DATABASE,False
year_1_000897,year_1,MySQL,DATABASE,False
year_1_000898,year_1,MySQL,DATABASE,False
year_1_000899,year_1,MySQL,DATABASE,False
year_1_000900,year_1,MySQL,DATABASE,False
year_1_000901,year_1,MySQL,DATABASE,False
year_1_000902,year_1,MySQL,DATABASE,True
year_1_000903,year_1,MySQL,DATABASE,False
year_1_000904,year_1,MySQL,DATABASE,False
year_1_000905,year_1,MySQL,DATABASE,False
year_1_000906,year_1,MySQL,DATABASE,False
year_1_000907,year_1,MySQL,DATABASE,True
year_1_000908,year_1,MySQL,DATABASE,False
year_1_000909,year_1,MySQL,DATABASE,True
year_1_000910,year_1,MySQL,DATABASE,False
year_1_000911,year_1,MySQL,DATABASE,False
year_1_000912,year_1,MySQL,DATABASE,False
year_1_000913,year_1,MySQL,DATABASE,True
year_1_000914,year_1,MySQL,DATABASE,False
year_1_000915,year_1,MySQL,DATABASE,False
year_1_000916,year_1,MySQL,DATABASE,False
year_1_000917,year_1,MySQL,DATABASE,False
year_1_000918,year_1,MySQL,DATABASE,True
year_1_000919,year_1,MySQL,DATABASE,False
year_1_000920,year_1,MySQL,DATABASE,False
year_1_000921,year_1,MySQL,DATABASE,False
year_1_000922,year_1,MySQL,DATABASE,False
year_1_000924,year_1,MySQL,DATABASE,False
year_1_000925,year_1,MySQL,DATABASE,False
year_1_000926,year_1,MySQL,DATABASE,False
year_1_000927,year_1,MySQL,DATABASE,False
year_1_000928,year_1,MySQL,DATABASE,True
year_1_000929,year_1,MySQL,DATABASE,False
year_1_000930,year_1,MySQL,DATABASE,True
year_1_000931,year_1,MySQL,DATABASE,False
year_1_000932,year_1,MySQL,DATABASE,False
year_1_000933,year_1,MySQL,DATABASE,False
year_1_000934,year_1,MySQL,DATABASE,False
year_1_000935,year_1,MySQL,DATABASE,False
year_1_000936,year_1,MySQL,DATABASE,True
year_1_000937,year_1,MySQL,DATABASE,False
year_1_000938,year_1,MySQL,DATABASE,False
year_1_000939,year_1,MySQL,DATABASE,False
year_1_000940,year_1,MySQL,DATABASE,False
year_1_000941,year_1,MySQL,DATABASE,True
year_1_000942,year_1,MySQL,DATABASE,True
year_1_000943,year_1,MySQL,DATABASE,True
year_1_000944,year_1,MySQL,DATABASE,True
year_1_000945,year_1,MySQL,DATABASE,False
year_1_000946,year_1,MySQL,DATABASE,False
year_1_000947,year_1,MySQL,DATABASE,False
year_1_000948,year_1,MySQL,DATABASE,False
year_1_000949,year_1,MySQL,DATABASE,False
year_1_000950,year_1,MySQL,DATABASE,False
year_1_000951,year_1,MySQL,DATABASE,False
year_1_000952,year_1,MySQL,DATABASE,True
year_1_000953,year_1,MySQL,DATABASE,False
year_1_000954,year_1,MySQL,DATABASE,True
year_1_000955,year_1,MySQL,DATABASE,False
year_1_000956,year_1,MySQL,DATABASE,False
year_1_000957,year_1,MySQL,DATABASE,True
year_1_000958,year_1,MySQL,DATABASE,False
year_1_000959,year_1,MySQL,DATABASE,True
year_1_000960,year_1,MySQL,DATABASE,False
year_1_000961,year_1,MySQL,DATABASE,False
year_1_000962,year_1,MySQL,DATABASE,False
year_1_000963,year_1,MySQL,DATABASE,False
year_1_000964,year_1,MySQL,DATABASE,False
year_1_000965,year_1,MySQL,DATABASE,False
year_1_000966,year_1,MySQL,DATABASE,True
year_1_000967,year_1,MySQL,DATABASE,False
year_1_000968,year_1,MySQL,DATABASE,False
year_1_000969,year_1,MySQL,DATABASE,False
year_1_000970,year_1,MySQL,DATABASE,True
year_1_000971,year_1,MySQL,DATABASE,False
year_1_000972,year_1,MySQL,DATABASE,False
year_1_000973,year_1,MySQL,DATABASE,False
year_1_000974,year_1,MySQL,DATABASE,False
year_1_000975,year_1,MySQL,DATABASE,False
year_1_000976,year_1,MySQL,DATABASE,True
year_1_000977,year_1,MySQL,DATABASE,False
year_1_000978,year_1,MySQL,DATABASE,False
year_1_000979,year_1,MySQL,DATABASE,False
year_1_000980,year_1,MySQL,DATABASE,False
year_1_000981,year_1,MySQL,DATABASE,False
year_1_000982,year_1,MySQL,DATABASE,False
year_1_000983,year_1,MySQL,DATABASE,False
year_1_000984,year_1,MySQL,DATABASE,True
year_1_000985,year_1,MySQL,DATABASE,False
year_1_000986,year_1,MySQL,DATABASE,False
year_1_000987,year_1,MySQL,DATABASE,True
year_1_000988,year_1,MySQL,DATABASE,False
year_1_000989,year_1,MySQL,DATABASE,True
year_1_000990,year_1,MySQL,DATABASE,False
year_1_000991,year_1,MySQL,DATABASE,False
year_1_000992,year_1,MySQL,DATABASE,False
year_1_000994,year_1,MySQL,DATABASE,False
year_1_000995,year_1,MySQL,DATABASE,True
year_1_000996,year_1,MySQL,DATABASE,False
year_1_000997,year_1,MySQL,DATABASE,False
year_1_000998,year_1,MySQL,DATABASE,True
year_1_000999,year_1,MySQL,DATABASE,True
year_1_001000,year_1,MySQL,DATABASE,False
year_1_001001,year_1,MySQL,DATABASE,False
year_1_001002,year_1,MySQL,DATABASE,False
year_1_001003,year_1,MySQL,DATABASE,False
year_1_001004,year_1,MySQL,DATABASE,False
year_1_001005,year_1,MySQL,DATABASE,False
year_1_001006,year_1,MySQL,DATABASE,False
year_1_001007,year_1,MySQL,DATABASE,False
year_1_001008,year_1,MySQL,DATABASE,False
year_1_001009,year_1,MySQL,DATABASE,True
year_1_001010,year_1,MySQL,DATABASE,False
year_1_001011,year_1,MySQL,DATABASE,False
year_1_001012,year_1,MySQL,DATABASE,False
year_1_001013,year_1,MySQL,DATABASE,False
year_1_001014,year_1,MySQL,DATABASE,False
year_1_001015,year_1,MySQL,DATABASE,False
year_1_001016,year_1,MySQL,DATABASE,False
year_1_001017,year_1,MySQL,DATABASE,False
year_1_001018,year_1,MySQL,DATABASE,False
year_1_001019,year_1,MySQL,DATABASE,False
year_1_001020,year_1,MySQL,DATABASE,False
year_1_001021,year_1,MySQL,DATABASE,True
year_1_001022,year_1,MySQL,DATABASE,False
year_1_001023,year_1,MySQL,DATABASE,False
year_1_001024,year_1,MySQL,DATABASE,False
year_1_001025,year_1,MySQL,DATABASE,False
year_1_001026,year_1,MySQL,DATABASE,False
year_1_001027,year_1,MySQL,DATABASE,True
year_1_001028,year_1,MySQL,DATABASE,False
year_1_001029,year_1,MySQL,DATABASE,False
year_1_001030,year_1,MySQL,DATABASE,True
year_1_001031,year_1,MySQL,DATABASE,True
year_1_001032,year_1,MySQL,DATABASE,False
year_1_001033,year_1,MySQL,DATABASE,True
year_1_001034,year_1,MySQL,DATABASE,True
year_1_001035,year_1,MySQL,DATABASE,False
year_1_001036,year_1,MySQL,DATABASE,False
year_1_001037,year_1,MySQL,DATABASE,False
year_1_001038,year_1,MySQL,DATABASE,False
year_1_001039,year_1,MySQL,DATABASE,True
year_1_001040,year_1,MySQL,DATABASE,False
year_1_001041,year_1,MySQL,DATABASE,False
year_1_001042,year_1,MySQL,DATABASE,False
year_1_001043,year_1,MySQL,DATABASE,False
year_1_001044,year_1,MySQL,DATABASE,False
year_1_001045,year_1,MySQL,DATABASE,False
year_1_001046,year_1,MySQL,DATABASE,False
year_1_001048,year_1,MySQL,DATABASE,False
year_1_001049,year_1,MySQL,DATABASE,False
year_1_001050,year_1,MySQL,DATABASE,True
year_1_001051,year_1,MySQL,DATABASE,False
year_1_001052,year_1,MySQL,DATABASE,False
year_1_001053,year_1,MySQL,DATABASE,False
year_1_001054,year_1,MySQL,DATABASE,False
year_1_001055,year_1,MySQL,DATABASE,False
year_1_001056,year_1,MySQL,DATABASE,False
year_1_001057,year_1,MySQL,DATABASE,True
year_1_001058,year_1,MySQL,DATABASE,False
year_1_001059,year_1,MySQL,DATABASE,True
year_1_001060,year_1,MySQL,DATABASE,False
year_1_001061,year_1,MySQL,DATABASE,False
year_1_001062,year_1,MySQL,DATABASE,False
year_1_001063,year_1,MySQL,DATABASE,False
year_1_001065,year_1,MySQL,DATABASE,False
year_1_001066,year_1,MySQL,DATABASE,False
year_1_001068,year_1,MySQL,DATABASE,False
year_1_001069,year_1,MySQL,DATABASE,False
year_1_001070,year_1,MySQL,DATABASE,True
year_1_001071,year_1,MySQL,DATABASE,False
year_1_001072,year_1,MySQL,DATABASE,True
year_1_001073,year_1,MySQL,DATABASE,True
year_1_001074,year_1,MySQL,DATABASE,True
