technology,year_3_users,year_3_eligible_respondents,adoption_growth_pp,cross_role_prevalence,salary_association,senior_role_prevalence,normalized_adoption_growth_pp,normalized_cross_role_prevalence,normalized_salary_association,normalized_senior_role_prevalence,priority_score,future_interest_component,rank
MongoDB,310,2096,3.152145301395111,0.9333333333333333,0.0,0.7747280647833872,0.199847109412327,0.8333333333333334,0.3333333333333333,0.553191489361702,0.4643698402532816,NOT_MEASURED - no source question in any of the 3 surveys; weight redistributed to the other 4 components (see script docstring),11
Snowflake,191,2096,5.66431955777836,0.8666666666666667,0.0,0.7585897274624028,0.31657907310081207,0.6666666666666667,0.3333333333333333,0.5372618915005011,0.4543292655429468,NOT_MEASURED - no source question in any of the 3 surveys; weight redistributed to the other 4 components (see script docstring),12
Google Firestore,37,2096,0.3644051066069999,0.8666666666666667,0.39998000099995,0.5651940258402562,0.0703105590062109,0.6666666666666667,0.7777777777777778,0.34636764423998473,0.43918948506675914,NOT_MEASURED - no source question in any of the 3 surveys; weight redistributed to the other 4 components (see script docstring),13
Firebase,65,2096,-0.29325151355619994,0.9333333333333333,0.0,0.9155566885475749,0.03975155279503082,0.8333333333333334,0.3333333333333333,0.6921985815602835,0.4341725034139464,NOT_MEASURED - no source question in any of the 3 surveys; weight redistributed to the other 4 components (see script docstring),14
Hive,160,2096,-1.14873979994735,0.8666666666666667,0.199990000499975,0.882145816072908,0.0,0.6666666666666667,0.5555555555555556,0.6592198581560282,0.41851195166798005,NOT_MEASURED - no source question in any of the 3 surveys; weight redistributed to the other 4 components (see script docstring),15
SQL SERVER,702,2096,-0.3438404843379761,1.0,0.0,0.538550053463061,0.03740086000955582,1.0,0.3333333333333333,0.3200682952456002,0.41766352106263716,NOT_MEASURED - no source question in any of the 3 surveys; weight redistributed to the other 4 components (see script docstring),16
MySQL,598,2096,0.3516550408002028,1.0,0.0,0.4671730956266815,0.06971810797897701,1.0,0.3333333333333333,0.24961455442491512,0.41669364691566335,NOT_MEASURED - no source question in any of the 3 surveys; weight redistributed to the other 4 components (see script docstring),17
Amazon Redshift,231,2096,-1.1018524611739897,0.8,0.39998000099995,0.8426602395119378,0.0021786908743430013,0.5000000000000001,0.7777777777777778,0.6202450032237264,0.41582879255713057,NOT_MEASURED - no source question in any of the 3 surveys; weight redistributed to the other 4 components (see script docstring),18
Oracle,410,2096,0.4339135298762786,0.9333333333333333,0.0,0.6384909168064338,0.07354037267080707,0.8333333333333334,0.3333333333333333,0.41871648503719056,0.399855093952023,NOT_MEASURED - no source question in any of the 3 surveys; weight redistributed to the other 4 components (see script docstring),19
Neo4J,40,2096,0.4536555672545401,0.6,0.599970001499925,1.0269262634631315,0.07445771619684644,0.0,1.0,0.8021276595744679,0.3807294042169157,NOT_MEASURED - no source question in any of the 3 surveys; weight redistributed to the other 4 components (see script docstring),20
MariaDB,91,2096,0.6239306396420098,0.8666666666666667,0.0,0.6864535630070013,0.08236980410893431,0.6666666666666667,0.3333333333333333,0.4660587639311044,0.3643923212840881,NOT_MEASURED - no source question in any of the 3 surveys; weight redistributed to the other 4 components (see script docstring),21
Cassandra,30,2096,-0.18508160042116015,0.6,0.39998000099995,1.2199668599834301,0.04477783086478735,0.0,0.7777777777777778,0.9926713947990544,0.3532106822609443,NOT_MEASURED - no source question in any of the 3 surveys; weight redistributed to the other 4 components (see script docstring),22
SAP HANA,123,2096,1.1808206106870203,0.8,0.0,0.7656152120758987,0.10824653607262275,0.5000000000000001,0.3333333333333333,0.5441965057948451,0.3397445592863114,NOT_MEASURED - no source question in any of the 3 surveys; weight redistributed to the other 4 components (see script docstring),23
DB2,73,2096,1.2198933929981601,0.8,0.0,0.7452985438821484,0.1100621118012422,0.5000000000000001,0.3333333333333333,0.5241426211988728,0.33700743709652253,NOT_MEASURED - no source question in any of the 3 surveys; weight redistributed to the other 4 components (see script docstring),24
Presto,88,2096,-0.3273887865227705,0.7333333333333333,0.199990000499975,0.8097555923777962,0.038165312947921394,0.33333333333333326,0.5555555555555556,0.5877659574468085,0.32673214660649125,NOT_MEASURED - no source question in any of the 3 surveys; weight redistributed to the other 4 components (see script docstring),25
Microsoft Access,90,2096,0.03742761252961968,1.0,-0.2999850007499625,0.2869373101353216,0.05511705685618741,1.0,0.0,0.0717100078802205,0.30810179804321036,NOT_MEASURED - no source question in any of the 3 surveys; weight redistributed to the other 4 components (see script docstring),26
Firebird,31,2096,0.6169386680705401,0.6,-0.2999850007499625,0.2142876232728439,0.0820449116101286,0.0,0.0,0.0,0.027348303870042865,NOT_MEASURED - no source question in any of the 3 surveys; weight redistributed to the other 4 components (see script docstring),27
