survey_year,gender,cross_dimension,cross_dimension_value,respondent_count,bucket_total,share_within_bucket,median_salary_midpoint,low_sample_flag
year_2,OTHER,current_role,DATA_ANALYST,2,907,0.002205071664829107,8500.5,True
year_2,FEMALE,current_role,DATA_ENGINEER_OR_ARCHITECT,125,684,0.1827485380116959,10000.5,False
year_2,MALE,current_role,DATA_ENGINEER_OR_ARCHITECT,557,684,0.814327485380117,10000.5,False
year_2,NOT_INFORMED,current_role,DATA_ENGINEER_OR_ARCHITECT,2,684,0.0029239766081871343,5250.5,True
year_2,FEMALE,current_role,DATA_PRODUCT_MANAGER,31,81,0.38271604938271603,14000.5,False
year_2,MALE,current_role,DATA_PRODUCT_MANAGER,50,81,0.6172839506172839,10000.5,False
year_2,FEMALE,current_role,DATA_SCIENTIST,154,687,0.22416302765647744,10000.5,False
year_2,MALE,current_role,DATA_SCIENTIST,528,687,0.7685589519650655,10000.5,False
year_2,NOT_INFORMED,current_role,DATA_SCIENTIST,5,687,0.00727802037845706,12000.5,True
year_2,FEMALE,current_role,DBA,5,20,0.25,10000.5,True
year_2,MALE,current_role,DBA,15,20,0.75,10000.5,True
year_2,FEMALE,current_role,MARKET_INTELLIGENCE_ANALYST,14,39,0.358974358974359,6000.5,True
year_2,MALE,current_role,MARKET_INTELLIGENCE_ANALYST,25,39,0.6410256410256411,5000.5,True
year_2,FEMALE,current_role,ML_ENGINEER,9,75,0.12,10000.5,True
year_2,MALE,current_role,ML_ENGINEER,64,75,0.8533333333333334,10000.5,False
year_2,NOT_INFORMED,current_role,ML_ENGINEER,1,75,0.013333333333333334,35000.5,True
year_2,OTHER,current_role,ML_ENGINEER,1,75,0.013333333333333334,7000.5,True
year_2,FEMALE,current_role,OTHER,82,267,0.30711610486891383,5000.5,False
year_2,MALE,current_role,OTHER,183,267,0.6853932584269663,5000.5,False
year_2,OTHER,current_role,OTHER,2,267,0.00749063670411985,2000.5,True
year_2,FEMALE,current_role,OTHER_ENGINEERING,7,31,0.22580645161290322,7500.5,True
year_2,MALE,current_role,OTHER_ENGINEERING,24,31,0.7741935483870968,7000.5,True
year_2,FEMALE,current_role,SOFTWARE_ENGINEER_OR_IT_ANALYST,21,105,0.2,7000.5,True
year_2,MALE,current_role,SOFTWARE_ENGINEER_OR_IT_ANALYST,84,105,0.8,7000.5,False
year_2,FEMALE,current_role,STATISTICIAN,6,21,0.2857142857142857,10000.5,True
year_2,MALE,current_role,STATISTICIAN,13,21,0.6190476190476191,8500.5,True
year_2,NOT_INFORMED,current_role,STATISTICIAN,2,21,0.09523809523809523,6000.5,True
year_2,FEMALE,current_role,SUPPORT_ANALYST,17,72,0.2361111111111111,3500.5,True
year_2,MALE,current_role,SUPPORT_ANALYST,55,72,0.7638888888888888,3500.5,False
year_3,FEMALE,current_role,ACADEMIC,6,16,0.375,7500.5,True
year_3,MALE,current_role,ACADEMIC,10,16,0.625,14000.5,True
year_3,FEMALE,current_role,ANALYTICS_ENGINEER,34,135,0.2518518518518518,14000.5,False
year_3,MALE,current_role,ANALYTICS_ENGINEER,100,135,0.7407407407407407,12000.5,False
year_3,NOT_INFORMED,current_role,ANALYTICS_ENGINEER,1,135,0.007407407407407408,35000.5,True
year_3,FEMALE,current_role,BI_ANALYST,49,215,0.22790697674418606,7000.5,False
year_3,MALE,current_role,BI_ANALYST,162,215,0.7534883720930232,7000.5,False
year_3,NOT_INFORMED,current_role,BI_ANALYST,2,215,0.009302325581395349,6750.5,True
year_3,OTHER,current_role,BI_ANALYST,2,215,0.009302325581395349,4250.5,True
year_3,FEMALE,current_role,BUSINESS_ANALYST,39,141,0.2765957446808511,7000.5,False
year_3,MALE,current_role,BUSINESS_ANALYST,101,141,0.7163120567375887,7000.5,False
year_3,OTHER,current_role,BUSINESS_ANALYST,1,141,0.0070921985815602835,10000.5,True
year_3,FEMALE,current_role,DATA_ANALYST,147,599,0.24540901502504173,7000.5,False
year_3,MALE,current_role,DATA_ANALYST,450,599,0.7512520868113522,7000.5,False
year_3,OTHER,current_role,DATA_ANALYST,2,599,0.00333889816360601,9500.5,True
year_3,FEMALE,current_role,DATA_ARCHITECT,3,28,0.10714285714285714,10000.5,True
year_3,MALE,current_role,DATA_ARCHITECT,25,28,0.8928571428571429,14000.5,True
year_3,FEMALE,current_role,DATA_ENGINEER_OR_ARCHITECT,73,402,0.18159203980099503,10000.5,False
year_3,MALE,current_role,DATA_ENGINEER_OR_ARCHITECT,328,402,0.8159203980099502,14000.5,False
year_3,NOT_INFORMED,current_role,DATA_ENGINEER_OR_ARCHITECT,1,402,0.0024875621890547263,22500.5,True
year_3,FEMALE,current_role,DATA_PRODUCT_MANAGER,14,33,0.42424242424242425,10000.5,True
year_3,MALE,current_role,DATA_PRODUCT_MANAGER,19,33,0.5757575757575758,18000.5,True
year_3,FEMALE,current_role,DATA_SCIENTIST,95,424,0.2240566037735849,10000.5,False
year_3,MALE,current_role,DATA_SCIENTIST,325,424,0.7665094339622641,10000.5,False
year_3,NOT_INFORMED,current_role,DATA_SCIENTIST,3,424,0.007075471698113208,5000.5,True
year_3,OTHER,current_role,DATA_SCIENTIST,1,424,0.0023584905660377358,10000.5,True
year_3,FEMALE,current_role,ML_ENGINEER,16,106,0.1509433962264151,10000.5,True
year_3,MALE,current_role,ML_ENGINEER,89,106,0.839622641509434,16000.5,False
year_3,NOT_INFORMED,current_role,ML_ENGINEER,1,106,0.009433962264150943,35000.5,True
year_3,FEMALE,current_role,OTHER,58,206,0.2815533980582524,5000.5,False
year_3,MALE,current_role,OTHER,147,206,0.7135922330097088,3500.5,False
year_3,NOT_INFORMED,current_role,OTHER,1,206,0.0048543689320388345,3500.5,True
year_3,FEMALE,current_role,OTHER_ENGINEERING,1,26,0.038461538461538464,7000.5,True
year_3,MALE,current_role,OTHER_ENGINEERING,25,26,0.9615384615384616,10000.5,True
year_3,FEMALE,current_role,SOFTWARE_ENGINEER_OR_IT_ANALYST,22,106,0.20754716981132076,8500.5,True
year_3,MALE,current_role,SOFTWARE_ENGINEER_OR_IT_ANALYST,84,106,0.7924528301886793,10000.5,False
year_3,FEMALE,current_role,STATISTICIAN,3,9,0.3333333333333333,18000.5,True
year_3,MALE,current_role,STATISTICIAN,6,9,0.6666666666666666,4250.5,True
year_3,FEMALE,current_role,SUPPORT_ANALYST,8,55,0.14545454545454545,5000.5,True
year_3,MALE,current_role,SUPPORT_ANALYST,46,55,0.8363636363636363,5000.5,False
year_3,OTHER,current_role,SUPPORT_ANALYST,1,55,0.01818181818181818,2500.5,True
year_1,FEMALE,region,Centro-oeste,22,184,0.11956521739130435,10000.5,True
year_1,MALE,region,Centro-oeste,161,184,0.875,10000.5,False
year_1,OTHER,region,Centro-oeste,1,184,0.005434782608695652,5000.5,True
year_1,FEMALE,region,Exterior,6,53,0.11320754716981132,9500.5,True
year_1,MALE,region,Exterior,46,53,0.8679245283018868,12000.5,False
year_1,OTHER,region,Exterior,1,53,0.018867924528301886,35000.5,True
year_1,FEMALE,region,Nordeste,50,301,0.16611295681063123,5000.5,False
year_1,MALE,region,Nordeste,250,301,0.8305647840531561,5000.5,False
year_1,OTHER,region,Nordeste,1,301,0.0033222591362126247,5000.5,True
year_1,FEMALE,region,Norte,5,36,0.1388888888888889,4250.5,True
year_1,MALE,region,Norte,31,36,0.8611111111111112,7000.5,False
year_1,FEMALE,region,Sudeste,342,1671,0.20466786355475763,7000.5,False
year_1,MALE,region,Sudeste,1326,1671,0.7935368043087971,7000.5,False
year_1,OTHER,region,Sudeste,3,1671,0.0017953321364452424,5000.5,True
year_1,FEMALE,region,Sul,68,400,0.17,5000.5,False
year_1,MALE,region,Sul,330,400,0.825,7000.5,False
year_1,OTHER,region,Sul,2,400,0.005,1500.5,True
year_2,FEMALE,region,Centro-oeste,75,344,0.2180232558139535,7000.5,False
year_2,MALE,region,Centro-oeste,267,344,0.7761627906976745,10000.5,False
year_2,NOT_INFORMED,region,Centro-oeste,1,344,0.0029069767441860465,14000.5,True
year_2,OTHER,region,Centro-oeste,1,344,0.0029069767441860465,10000.5,True
year_2,FEMALE,region,Nordeste,147,608,0.24177631578947367,5000.5,False
year_2,MALE,region,Nordeste,461,608,0.7582236842105263,7000.5,False
year_2,FEMALE,region,Norte,18,83,0.21686746987951808,3500.5,True
year_2,MALE,region,Norte,64,83,0.7710843373493976,7000.5,False
year_2,NOT_INFORMED,region,Norte,1,83,0.012048192771084338,5000.5,True
year_2,FEMALE,region,Sudeste,800,3173,0.2521273242987709,10000.5,False
year_2,MALE,region,Sudeste,2354,3173,0.7418846517491333,10000.5,False
year_2,NOT_INFORMED,region,Sudeste,12,3173,0.003781909864481563,7000.5,True
year_2,OTHER,region,Sudeste,7,3173,0.002206114087614245,6000.5,True
year_2,FEMALE,region,Sul,225,961,0.23413111342351717,7000.5,False
year_2,MALE,region,Sul,735,961,0.7648283038501561,7000.5,False
year_2,OTHER,region,Sul,1,961,0.001040582726326743,,True
year_3,FEMALE,region,Centro-oeste,35,231,0.15151515151515152,7000.5,False
year_3,MALE,region,Centro-oeste,194,231,0.8398268398268398,10000.5,False
year_3,NOT_INFORMED,region,Centro-oeste,1,231,0.004329004329004329,35000.5,True
year_3,OTHER,region,Centro-oeste,1,231,0.004329004329004329,2500.5,True
year_3,FEMALE,region,Nordeste,77,380,0.2026315789473684,7000.5,False
year_3,MALE,region,Nordeste,303,380,0.7973684210526316,10000.5,False
year_3,FEMALE,region,Norte,7,48,0.14583333333333334,10000.5,True
year_3,MALE,region,Norte,41,48,0.8541666666666666,12000.5,False
year_3,FEMALE,region,Sudeste,509,2171,0.23445416858590512,10000.5,False
year_3,MALE,region,Sudeste,1650,2171,0.7600184246890834,10000.5,False
year_3,NOT_INFORMED,region,Sudeste,7,2171,0.0032243205895900505,10000.5,True
year_3,OTHER,region,Sudeste,5,2171,0.0023030861354214646,10000.5,True
year_3,FEMALE,region,Sul,115,540,0.21296296296296297,10000.5,False
year_3,MALE,region,Sul,421,540,0.7796296296296297,10000.5,False
year_3,NOT_INFORMED,region,Sul,3,540,0.005555555555555556,2500.5,True
year_3,OTHER,region,Sul,1,540,0.001851851851851852,5000.5,True
